GeneSymbol	Ensembl_Gene_ID	Gene_biotype
ABCB4	ENSG00000005471	protein_coding
ABI3	ENSG00000108798	protein_coding
ACR	ENSG00000291368	protein_coding
ACR	ENSG00000100312	protein_coding
ACTA1	ENSG00000143632	protein_coding
ACTA2	ENSG00000107796	protein_coding
ADORA3	ENSG00000282608	protein_coding
ADRA2A	ENSG00000150594	protein_coding
ADRB1	ENSG00000043591	protein_coding
AFAP1L1	ENSG00000157510	protein_coding
AIFM3	ENSG00000183773	protein_coding
AK1	ENSG00000106992	protein_coding
ALDH3B2	ENSG00000132746	protein_coding
ALOX12B	ENSG00000179477	protein_coding
ANGPTL4	ENSG00000167772	protein_coding
ANKRD2	ENSG00000165887	protein_coding
ANKRD34A	ENSG00000272031	protein_coding
ANKRD34B	ENSG00000189127	protein_coding
ANXA1	ENSG00000135046	protein_coding
APOA1	ENSG00000118137	protein_coding
APOC3	ENSG00000110245	protein_coding
APOH	ENSG00000091583	protein_coding
ARG1	ENSG00000118520	protein_coding
ARL5C	ENSG00000141748	protein_coding
ASIC1	ENSG00000110881	protein_coding
ASPA	ENSG00000108381	protein_coding
ATP1A4	ENSG00000132681	protein_coding
ATP2B2	ENSG00000157087	protein_coding
ATP4B	ENSG00000186009	protein_coding
AVPR1B	ENSG00000198049	protein_coding
BCKDHA	ENSG00000248098	protein_coding
BCL2L15	ENSG00000188761	protein_coding
C10orf62	ENSG00000203942	protein_coding
C12orf56	ENSG00000185306	protein_coding
C12orf71	ENSG00000214700	protein_coding
C16orf89	ENSG00000153446	protein_coding
C16orf96	ENSG00000205832	protein_coding
C17orf107	ENSG00000205710	protein_coding
C1orf116	ENSG00000182795	protein_coding
C20orf173	ENSG00000125975	protein_coding
C3	ENSG00000125730	protein_coding
C5orf58	ENSG00000234511	protein_coding
C6orf141	ENSG00000197261	protein_coding
C8orf74	ENSG00000285147	protein_coding
C8orf74	ENSG00000171060	protein_coding
C9orf152	ENSG00000188959	protein_coding
CA10	ENSG00000154975	protein_coding
CA4	ENSG00000167434	protein_coding
CA7	ENSG00000168748	protein_coding
CACNA1E	ENSG00000198216	protein_coding
CACNA2D2	ENSG00000007402	protein_coding
CALHM3	ENSG00000183128	protein_coding
CC2D2B	ENSG00000188649	protein_coding
CCDC158	ENSG00000163749	protein_coding
CCDC160	ENSG00000203952	protein_coding
CCDC73	ENSG00000186714	protein_coding
CCL20	ENSG00000115009	protein_coding
CCRL2	ENSG00000121797	protein_coding
CD34	ENSG00000174059	protein_coding
CD40LG	ENSG00000102245	protein_coding
CD68	ENSG00000129226	protein_coding
CDC20B	ENSG00000164287	protein_coding
CDK20	ENSG00000156345	protein_coding
CDKN2A	ENSG00000147889	protein_coding
CEACAM16	ENSG00000213892	protein_coding
CEACAM19	ENSG00000186567	protein_coding
CETP	ENSG00000087237	protein_coding
CFAP58	ENSG00000120051	protein_coding
CFH	ENSG00000000971	protein_coding
CFTR	ENSG00000001626	protein_coding
CHRNB4	ENSG00000117971	protein_coding
CHRNE	ENSG00000108556	protein_coding
CHTF8	ENSG00000168802	protein_coding
CLEC12B	ENSG00000256660	protein_coding
CLEC1B	ENSG00000165682	protein_coding
CLEC4M	ENSG00000104938	protein_coding
CLLU1	ENSG00000257127	lncRNA
CLRN2	ENSG00000249581	protein_coding
CMTM5	ENSG00000166091	protein_coding
CNGA1	ENSG00000198515	protein_coding
CNGA4	ENSG00000132259	protein_coding
COL17A1	ENSG00000065618	protein_coding
CP	ENSG00000047457	protein_coding
CSF2	ENSG00000164400	protein_coding
CTBP2	ENSG00000175029	protein_coding
CTLA4	ENSG00000163599	protein_coding
CXCL12	ENSG00000107562	protein_coding
CXCL8	ENSG00000169429	protein_coding
CXCR1	ENSG00000163464	protein_coding
CYP17A1	ENSG00000148795	protein_coding
CYP19A1	ENSG00000137869	protein_coding
CYP1A1	ENSG00000140465	protein_coding
CYP24A1	ENSG00000019186	protein_coding
CYP27A1	ENSG00000135929	protein_coding
DBNDD2	ENSG00000244274	protein_coding
DHRS9	ENSG00000073737	protein_coding
DKK3	ENSG00000050165	protein_coding
DMTN	ENSG00000158856	protein_coding
DNTT	ENSG00000107447	protein_coding
EBF4	ENSG00000088881	protein_coding
ECT2L	ENSG00000203734	protein_coding
EDNRB	ENSG00000136160	protein_coding
ELN	ENSG00000049540	protein_coding
ERBB3	ENSG00000065361	protein_coding
ERICH3	ENSG00000178965	protein_coding
ERICH4	ENSG00000204978	protein_coding
ETV3L	ENSG00000253831	protein_coding
EVPLL	ENSG00000284166	protein_coding
EVPLL	ENSG00000214860	protein_coding
F11	ENSG00000088926	protein_coding
F13A1	ENSG00000124491	protein_coding
F2	ENSG00000180210	protein_coding
F8A2	ENSG00000288709	protein_coding
FAM111B	ENSG00000189057	protein_coding
FAM209A	ENSG00000124103	protein_coding
FAM209B	ENSG00000213714	protein_coding
FAM220A	ENSG00000178397	protein_coding
FAM221B	ENSG00000204930	protein_coding
FASLG	ENSG00000117560	protein_coding
FAT3	ENSG00000165323	protein_coding
FBLIM1	ENSG00000162458	protein_coding
FBLN2	ENSG00000163520	protein_coding
FBXO47	ENSG00000204952	protein_coding
FCGR3A	ENSG00000203747	protein_coding
FCGR3B	ENSG00000162747	protein_coding
FCRL6	ENSG00000181036	protein_coding
FCRLB	ENSG00000162746	protein_coding
FGR	ENSG00000000938	protein_coding
FILIP1L	ENSG00000168386	protein_coding
FLNC	ENSG00000128591	protein_coding
FNDC9	ENSG00000172568	protein_coding
FOLR2	ENSG00000165457	protein_coding
FRG2C	ENSG00000172969	protein_coding
FUT3	ENSG00000292063	protein_coding
FUT3	ENSG00000171124	protein_coding
GAD2	ENSG00000136750	protein_coding
GCGR	ENSG00000288269	protein_coding
GCGR	ENSG00000215644	protein_coding
GDF5	ENSG00000125965	protein_coding
GGT5	ENSG00000099998	protein_coding
GIPR	ENSG00000010310	protein_coding
GJB6	ENSG00000121742	protein_coding
GLRA3	ENSG00000145451	protein_coding
GLTPD2	ENSG00000182327	protein_coding
GLYATL3	ENSG00000203972	protein_coding
GNRHR	ENSG00000109163	protein_coding
GOLGA6D	ENSG00000140478	protein_coding
GPBAR1	ENSG00000179921	protein_coding
GPR143	ENSG00000101850	protein_coding
GPR18	ENSG00000125245	protein_coding
GPRASP1	ENSG00000198932	protein_coding
GRIA2	ENSG00000120251	protein_coding
GRIA4	ENSG00000152578	protein_coding
GSG1	ENSG00000111305	protein_coding
GSTM3	ENSG00000134202	protein_coding
GXYLT2	ENSG00000172986	protein_coding
HAP1	ENSG00000173805	protein_coding
HAVCR1	ENSG00000113249	protein_coding
HES5	ENSG00000273529	protein_coding
HES5	ENSG00000197921	protein_coding
HNF1B	ENSG00000276194	protein_coding
HNF1B	ENSG00000275410	protein_coding
HNMT	ENSG00000150540	protein_coding
HNRNPCL1	ENSG00000282175	protein_coding
HNRNPCL1	ENSG00000179172	protein_coding
HRG	ENSG00000113905	protein_coding
HRNR	ENSG00000197915	protein_coding
HSD17B1	ENSG00000108786	protein_coding
HSF5	ENSG00000176160	protein_coding
HTR2A	ENSG00000102468	protein_coding
HTR2B	ENSG00000135914	protein_coding
HTR4	ENSG00000164270	protein_coding
IGFBP1	ENSG00000146678	protein_coding
IGSF9	ENSG00000085552	protein_coding
IL10	ENSG00000136634	protein_coding
IL11	ENSG00000095752	protein_coding
IL17REL	ENSG00000188263	protein_coding
IL1A	ENSG00000115008	protein_coding
IL1RN	ENSG00000136689	protein_coding
IL2RB	ENSG00000100385	protein_coding
IL4	ENSG00000113520	protein_coding
IL5	ENSG00000113525	protein_coding
IL5RA	ENSG00000091181	protein_coding
IL6	ENSG00000136244	protein_coding
IRAK3	ENSG00000090376	protein_coding
ISX	ENSG00000175329	protein_coding
ITGA2B	ENSG00000005961	protein_coding
ITGB3	ENSG00000259207	protein_coding
ITGB7	ENSG00000139626	protein_coding
KCNE1	ENSG00000180509	protein_coding
KCNJ5	ENSG00000120457	protein_coding
KIAA1755	ENSG00000149633	protein_coding
KLHL33	ENSG00000291793	protein_coding
KLHL33	ENSG00000185271	protein_coding
KLKB1	ENSG00000164344	protein_coding
